ClassName,nbBugs
org.eclipse.jetty.webapp.MetaInfConfiguration,3
org.eclipse.jetty.client.HttpConnection,1
org.eclipse.jetty.io.nio.SelectChannelEndPoint,1
org.eclipse.jetty.server.nio.SelectChannelConnector,1
org.eclipse.jetty.xml.XmlConfiguration,1
org.eclipse.jetty.start.Main,5
org.eclipse.jetty.servlets.DoSFilter,6
org.eclipse.jetty.servlet.ServletHandler,1
org.eclipse.jetty.util.resource.JarFileResource,1
org.eclipse.jetty.webapp.WebInfConfiguration,2
org.eclipse.jetty.server.Request,3
org.eclipse.jetty.continuation.Servlet3Continuation,2
org.eclipse.jetty.util.resource.Resource,1
org.eclipse.jetty.util.BlockingArrayQueue,2
org.eclipse.jetty.util.log.Log,1
org.eclipse.jetty.server.Server,2
