ClassName,nbBugs
org.eclipse.jetty.websocket.TestClient,2
org.eclipse.jetty.websocket.WebSocketFactory,2
org.eclipse.jetty.websocket.WebSocketMessageD00Test,2
org.eclipse.jetty.util.ScannerTest,1
org.eclipse.jetty.nested.NestedConnection,2
org.eclipse.jetty.nested.NestedGenerator,2
org.eclipse.jetty.client.SslCertSecuredExchangeTest,1
org.eclipse.jetty.client.SslValidationTestBase,1
org.eclipse.jetty.http.ssl.SslContextFactory,1
org.eclipse.jetty.client.SelectConnector,1
org.eclipse.jetty.http.HttpParser,18
org.eclipse.jetty.webapp.MetaData,1
org.eclipse.jetty.webapp.Origin,1
org.eclipse.jetty.server.handler.HandlerWrapper,3
org.eclipse.jetty.client.HttpDestination,1
org.eclipse.jetty.server.session.AbstractRemoveSessionTest,2
