ClassName,nbBugs
org.eclipse.jetty.client.RedirectProtocolHandler,1
org.eclipse.jetty.websocket.common.io.IOState,5
org.eclipse.jetty.spdy.StandardSession,5
org.eclipse.jetty.spdy.StandardStream,5
org.eclipse.jetty.spdy.api.Stream,2
org.eclipse.jetty.spdy.server.proxy.SPDYProxyEngine,2
org.eclipse.jetty.spdy.server.http.ReferrerPushStrategyTest,3
org.eclipse.jetty.util.Callback,2
org.eclipse.jetty.util.Promise,2
org.eclipse.jetty.spdy.server.http.ServerHTTPSPDYTest,1
org.eclipse.jetty.websocket.server.ServletWebSocketRequest,1
org.eclipse.jetty.websocket.server.WebSocketServerFactory,1
org.eclipse.jetty.http.HttpField,4
org.eclipse.jetty.websocket.api.Session,1
org.eclipse.jetty.websocket.common.WebSocketSession,4
org.eclipse.jetty.websocket.common.io.AbstractWebSocketConnection,4
org.eclipse.jetty.websocket.common.io.WriteBytesProvider,3
org.eclipse.jetty.websocket.common.extensions.mux.MuxChannel,1
org.eclipse.jetty.websocket.common.io.LocalWebSocketConnection,1
org.eclipse.jetty.maven.plugin.AbstractJettyMojo,1
org.eclipse.jetty.maven.plugin.JettyServer,1
org.eclipse.jetty.maven.plugin.MavenServerConnector,1
org.eclipse.jetty.maven.plugin.Starter,1
org.eclipse.jetty.spdy.StandardSessionTest,4
org.eclipse.jetty.spdy.server.ResetStreamTest,1
org.eclipse.jetty.spdy.server.SynDataReplyDataLoadTest,1
org.eclipse.jetty.spdy.api.Session,1
org.eclipse.jetty.spdy.StandardStreamTest,2
org.eclipse.jetty.spdy.server.proxy.ProxyHTTPSPDYConnection,3
org.eclipse.jetty.spdy.client.SPDYConnection,1
org.eclipse.jetty.runner.Runner,1
org.eclipse.jetty.ant.AntWebAppContext,2
org.eclipse.jetty.websocket.server.blockhead.BlockheadClient,3
org.eclipse.jetty.client.HttpDestination,2
org.eclipse.jetty.client.HttpReceiver,3
org.eclipse.jetty.client.HttpClient,1
org.eclipse.jetty.client.HttpConnection,1
org.eclipse.jetty.http.HttpParser,1
org.eclipse.jetty.util.BlockingArrayQueue,2
org.eclipse.jetty.spdy.api.ClientUsageTest,1
org.eclipse.jetty.server.HttpConnection,2
org.eclipse.jetty.util.DateCache,2
org.eclipse.jetty.server.Server,1
org.eclipse.jetty.server.Response,1
org.eclipse.jetty.client.util.InputStreamContentProvider,1
org.eclipse.jetty.client.util.PathContentProvider,1
org.eclipse.jetty.client.HttpClientStreamTest,1
org.eclipse.jetty.server.HttpServerTestBase,1
org.eclipse.jetty.client.HttpSender,2
org.eclipse.jetty.server.session.HashedSession,1
org.eclipse.jetty.server.session.IdleSessionTest,1
org.eclipse.jetty.JdbcLoginServiceTest,1
org.eclipse.jetty.websocket.client.WebSocketClientTest,1
org.eclipse.jetty.server.Request,1
org.eclipse.jetty.rewrite.handler.ValidUrlRuleTest,1
org.eclipse.jetty.client.HttpClientTest,1
org.eclipse.jetty.servlets.MultipartFilterTest,1
