ClassName,nbBugs
org.eclipse.jetty.websocket.jsr356.server.deploy.WebSocketServerContainerInitializer,6
org.eclipse.jetty.server.HttpInput,2
org.eclipse.jetty.start.Main,2
org.eclipse.jetty.start.StartArgs,2
org.eclipse.jetty.server.handler.ContextHandler,2
org.eclipse.jetty.annotations.AnnotationConfiguration,4
org.eclipse.jetty.osgi.annotations.AnnotationConfiguration,2
org.eclipse.jetty.webapp.MetaData,1
org.eclipse.jetty.annotations.AnnotationParser,2
org.eclipse.jetty.maven.plugin.MavenAnnotationConfiguration,1
org.eclipse.jetty.annotations.ServletContainerInitializersStarter,2
