ClassName,nbBugs
org.eclipse.jetty.client.HttpDestination,32
org.eclipse.jetty.io.ssl.SslConnection,16
org.eclipse.jetty.util.ssl.SslContextFactory,4
org.eclipse.jetty.util.ssl.SslContextFactoryTest,2
org.eclipse.jetty.maven.plugin.AbstractJettyMojo,22
org.eclipse.jetty.maven.plugin.JettyServer,22
org.eclipse.jetty.maven.plugin.Starter,22
org.eclipse.jetty.client.HttpClient,12
org.eclipse.jetty.client.AbstractHttpClientServerTest,4
org.eclipse.jetty.client.HttpClientTest,7
org.eclipse.jetty.server.HttpChannel,29
org.eclipse.jetty.io.SelectChannelEndPointSslTest,4
org.eclipse.jetty.io.SelectChannelEndPointTest,5
org.eclipse.jetty.websocket.server.blockhead.BlockheadClient,5
org.eclipse.jetty.websocket.server.helper.OutgoingFramesCapture,1
org.eclipse.jetty.websocket.client.io.WebSocketClientConnection,10
org.eclipse.jetty.websocket.server.WebSocketServerFactory,11
org.eclipse.jetty.websocket.client.BadNetworkTest,2
org.eclipse.jetty.websocket.client.internal.io.UpgradeConnection,2
org.eclipse.jetty.websocket.client.blockhead.BlockheadServer,4
org.eclipse.jetty.websocket.core.api.Extension,1
org.eclipse.jetty.websocket.core.extensions.WebSocketExtensionRegistry,1
org.eclipse.jetty.websocket.core.extensions.permessage.CompressExtension,1
org.eclipse.jetty.websocket.core.protocol.Generator,1
org.eclipse.jetty.websocket.core.protocol.Parser,1
org.eclipse.jetty.websocket.core.extensions.AllTests,1
org.eclipse.jetty.websocket.server.WebSocketHandler,1
org.eclipse.jetty.client.HttpClientRedirectTest,5
org.eclipse.jetty.websocket.client.WebSocketClient,5
org.eclipse.jetty.client.HttpRequest,6
org.eclipse.jetty.client.RequestNotifier,4
org.eclipse.jetty.client.ResponseNotifier,4
org.eclipse.jetty.client.api.Request,4
org.eclipse.jetty.client.AuthenticationProtocolHandler,2
org.eclipse.jetty.client.api.Authentication,2
org.eclipse.jetty.client.util.BasicAuthentication,2
org.eclipse.jetty.client.util.DigestAuthentication,2
org.eclipse.jetty.client.HttpConnection,6
org.eclipse.jetty.client.RedirectProtocolHandler,2
org.eclipse.jetty.client.HttpRequestAbortTest,2
org.eclipse.jetty.client.HttpClientLoadTest,2
org.eclipse.jetty.client.util.InputStreamResponseListener,6
