ClassName,nbBugs
org.eclipse.jetty.spdy.StandardSession,9
org.eclipse.jetty.spdy.StandardStream,9
org.eclipse.jetty.spdy.parser.ControlFrameParser,6
org.eclipse.jetty.spdy.parser.Parser,6
org.eclipse.jetty.spdy.parser.SynStreamBodyParser,6
org.eclipse.jetty.spdy.http.ServerHTTPSPDYAsyncConnection,1
org.eclipse.jetty.spdy.api.ByteBufferDataInfo,2
org.eclipse.jetty.spdy.api.BytesDataInfo,2
org.eclipse.jetty.spdy.api.DataInfo,5
org.eclipse.jetty.spdy.api.GoAwayInfo,1
org.eclipse.jetty.spdy.api.HeadersInfo,1
org.eclipse.jetty.spdy.api.PingInfo,1
org.eclipse.jetty.spdy.api.ReplyInfo,1
org.eclipse.jetty.spdy.api.RstInfo,1
org.eclipse.jetty.spdy.api.StringDataInfo,2
org.eclipse.jetty.spdy.api.SynInfo,1
org.eclipse.jetty.spdy.frames.DataFrame,1
org.eclipse.jetty.spdy.api.ServerUsageTest,2
org.eclipse.jetty.spdy.api.ClientUsageTest,2
org.eclipse.jetty.spdy.AsyncTimeoutTest,1
org.eclipse.jetty.servlets.GzipFilter,2
org.eclipse.jetty.server.HttpServerTestBase,1
org.eclipse.jetty.server.ssl.SelectChannelServerSslTest,1
org.eclipse.jetty.servlets.MultipartFilterTest,1
