ClassName,nbBugs
org.eclipse.jetty.osgi.test.TestJettyOSGiBootCore,1
org.eclipse.jetty.apache.jsp.JettyJasperInitializer,1
org.eclipse.jetty.util.SharedBlockingCallback,3
org.eclipse.jetty.fcgi.server.HttpTransportOverFCGI,4
org.eclipse.jetty.fcgi.server.ServerFCGIConnection,4
org.eclipse.jetty.server.HttpServerTestBase,1
org.eclipse.jetty.runner.Runner,1
org.eclipse.jetty.quickstart.PreconfigureQuickStartWar,1
org.eclipse.jetty.quickstart.QuickStartWebApp,1
org.eclipse.jetty.fcgi.generator.ClientGenerator,1
org.eclipse.jetty.fcgi.parser.EndRequestContentParser,3
org.eclipse.jetty.fcgi.parser.ClientParser,1
org.eclipse.jetty.fcgi.parser.ContentParser,1
org.eclipse.jetty.fcgi.parser.HeaderParser,1
org.eclipse.jetty.fcgi.parser.ParamsContentParser,1
org.eclipse.jetty.fcgi.parser.Parser,1
org.eclipse.jetty.fcgi.parser.StreamContentParser,1
org.eclipse.jetty.fcgi.generator.ClientGeneratorTest,1
org.eclipse.jetty.websocket.jsr356.server.StreamTest,1
org.eclipse.jetty.server.HttpChannel,1
org.eclipse.jetty.server.HttpConnection,1
org.eclipse.jetty.server.HttpOutput,1
org.eclipse.jetty.server.Response,1
org.eclipse.jetty.client.MultiplexHttpDestination,1
org.eclipse.jetty.client.PoolingHttpDestination,1
org.eclipse.jetty.client.HttpClientStreamTest,1
