ClassName,nbBugs
org.eclipse.jetty.websocket.WebSocketFactory,2
org.eclipse.jetty.util.log.StdErrLog,2
org.eclipse.jetty.http.HttpParser,5
org.eclipse.jetty.deploy.providers.WebAppProvider,11
org.eclipse.jetty.util.ajax.JSON,2
org.eclipse.jetty.server.session.JDBCSessionManager,1
org.eclipse.jetty.server.Server,5
org.eclipse.jetty.util.thread.ShutdownThread,5
org.eclipse.jetty.security.ConstraintSecurityHandler,2
org.eclipse.jetty.util.UrlEncoded,1
org.eclipse.jetty.client.HttpDestination,2
org.eclipse.jetty.webapp.WebAppClassLoader,6
org.eclipse.jetty.webapp.WebAppClassLoaderTest,6
org.eclipse.jetty.http.HttpFields,2
org.eclipse.jetty.http.HttpFieldsTest,2
org.eclipse.jetty.server.handler.IPAccessHandler,2
org.eclipse.jetty.util.statistic.CounterStatistic,5
org.eclipse.jetty.osgi.boot.JettyBootstrapActivator,3
org.eclipse.jetty.server.session.JDBCSessionIdManager,2
org.eclipse.jetty.http.HttpGenerator,1
