ClassName,nbBugs
org.eclipse.pde.core.src.org.eclipse.pde.internal.core.exports.WorkspaceExportHelper,2
org.eclipse.pde.core.src.org.eclipse.pde.internal.core.ExternalModelManager,1
org.eclipse.pde.core.src.org.eclipse.pde.internal.core.ICoreConstants,1
org.eclipse.pde.core.src.org.eclipse.pde.internal.core.TargetPreferenceModifyListener,1
org.eclipse.pde.core.src.org.eclipse.pde.internal.core.target.provisional.LoadTargetDefinitionJob,1
