Project Name,Package Name,Type Name,Code Smell
eclipse.pde.ui-20100304-1530,org.eclipse.pde.api.tools.ui.internal,ApiImageDescriptor,Deficient Encapsulation
eclipse.pde.ui-20100304-1530,org.eclipse.pde.api.tools.ui.internal,ApiImageDescriptor,Cyclic-Dependent Modularization
eclipse.pde.ui-20100304-1530,org.eclipse.pde.api.tools.ui.internal,ApiToolsLabelProvider,Unutilized Abstraction
eclipse.pde.ui-20100304-1530,org.eclipse.pde.api.tools.ui.internal,ApiUIPlugin,Deficient Encapsulation
eclipse.pde.ui-20100304-1530,org.eclipse.pde.api.tools.ui.internal,ApiUIPlugin,Cyclic-Dependent Modularization
eclipse.pde.ui-20100304-1530,org.eclipse.pde.api.tools.ui.internal,ApiUIPlugin,Insufficient Modularization
eclipse.pde.ui-20100304-1530,org.eclipse.pde.api.tools.ui.internal,CompositeApiImageDescriptor,Deficient Encapsulation
eclipse.pde.ui-20100304-1530,org.eclipse.pde.api.tools.ui.internal,IApiToolsConstants,Deficient Encapsulation
eclipse.pde.ui-20100304-1530,org.eclipse.pde.api.tools.ui.internal,IApiToolsConstants,Broken Modularization
eclipse.pde.ui-20100304-1530,org.eclipse.pde.api.tools.ui.internal,IApiToolsHelpContextIds,Deficient Encapsulation
eclipse.pde.ui-20100304-1530,org.eclipse.pde.api.tools.ui.internal,IApiToolsHelpContextIds,Broken Modularization
eclipse.pde.ui-20100304-1530,org.eclipse.pde.api.tools.ui.internal,JavaElementActionFilter,Unutilized Abstraction
eclipse.pde.ui-20100304-1530,org.eclipse.pde.api.tools.ui.internal,Messages,Deficient Encapsulation
eclipse.pde.ui-20100304-1530,org.eclipse.pde.api.tools.ui.internal,SWTFactory,Insufficient Modularization
eclipse.pde.ui-20100304-1530,org.eclipse.pde.api.tools.ui.internal,Position,Unutilized Abstraction
eclipse.pde.ui-20100304-1530,org.eclipse.pde.api.tools.ui.internal.actions,ActionMessages,Deficient Encapsulation
eclipse.pde.ui-20100304-1530,org.eclipse.pde.api.tools.ui.internal.actions,ApiToolingSetupObjectContribution,Unutilized Abstraction
eclipse.pde.ui-20100304-1530,org.eclipse.pde.api.tools.ui.internal.actions,CompareWithAction,Unutilized Abstraction
eclipse.pde.ui-20100304-1530,org.eclipse.pde.api.tools.ui.internal.actions,ConfigureProblemFiltersAction,Unutilized Abstraction
eclipse.pde.ui-20100304-1530,org.eclipse.pde.api.tools.ui.internal.actions,DeltaSession,Deficient Encapsulation
eclipse.pde.ui-20100304-1530,org.eclipse.pde.api.tools.ui.internal.actions,DeltaSession,Cyclic-Dependent Modularization
eclipse.pde.ui-20100304-1530,org.eclipse.pde.api.tools.ui.internal.actions,DeltaSession,Insufficient Modularization
eclipse.pde.ui-20100304-1530,org.eclipse.pde.api.tools.ui.internal.actions,TreeNode,Deficient Encapsulation
eclipse.pde.ui-20100304-1530,org.eclipse.pde.api.tools.ui.internal.actions,TreeNode,Cyclic-Dependent Modularization
